TargetName,ROI1,ROI2,ROI3,ROI4,ROI5,ROI6,ROI7,ROI8,ROI9,ROI10,ROI11,ROI12
ZNF845,134.48,151.91,132.05,144.4,144.71,133.98,144.66,149.92,148.99,154.95,144.5,147.2
SLC25A44,116.74,126.59,125.78,114.44,130.31,136.09,135.21,134.92,127.08,127.61,138.95,123.14
SMARCD2,139.15,144,145.54,136.99,144.71,152.97,144.66,143.92,135.85,157.23,133.39,157.1
MYSM1,157.21,169.32,164.04,166.61,151.91,163.52,151.28,142.42,162.14,164.07,152.84,152.86
KIAA1586,144.44,142.42,141.77,148.1,144.71,130.81,137.1,122.93,135.85,139,154.23,142.95
FKTN,153.47,167.74,154.95,147.76,138.82,147.69,146.56,157.41,153.37,143.56,138.95,141.53
SRFBP1,120.47,110.77,126.09,126.22,127.03,137.14,123.86,106.44,113.94,132.17,123.66,113.23
NIF3L1,130.12,131.34,139.89,136.32,130.96,150.86,142.77,130.43,140.23,157.23,126.44,138.7
SMIM20,160.63,139.25,165.3,164.59,155.19,160.35,143.72,170.9,148.99,150.39,151.45,154.27
EEF1AKNMT,186.47,174.07,196.98,185.12,186.62,201.5,196.67,185.89,188.43,202.81,186.19,174.09
RBM10,141.95,137.67,137.38,138.67,156.5,145.58,166.41,151.41,148.99,143.56,134.78,135.87
SEC62,209.82,208.88,204.19,205.32,203.64,201.5,218.42,196.39,214.72,209.64,223.7,188.24
RNF208,143.82,150.33,145.22,142.71,138.82,147.69,136.16,137.92,131.46,164.07,138.95,159.93
NSUN4,131.99,131.34,127.34,119.83,137.51,137.14,138.05,130.43,144.61,148.12,118.1,120.3
GPATCH4,134.48,131.34,132.05,121.85,121.14,133.98,131.43,119.93,144.61,136.72,118.1,110.4
RBM19,142.89,166.16,148.05,155.5,160.43,148.75,171.14,148.42,140.23,168.62,155.62,154.27
ASNSD1,169.97,164.57,164.67,172,164.36,164.57,161.68,152.91,162.14,184.58,154.23,144.37
THUMPD3,117.67,118.68,114.17,123.19,131.62,125.54,130.48,131.93,118.32,141.28,127.83,101.9
ZFAND6,143.2,159.83,161.85,161.9,150.6,166.68,157.9,164.91,140.23,157.23,141.72,137.29
BBS4,102.11,115.52,101.31,108.38,111.32,89.67,121.03,97.44,127.08,118.49,112.55,113.23
BSCL2,128.26,134.51,143.97,126.56,136.2,147.69,131.43,139.42,140.23,123.05,109.77,121.72
PDE12,139.46,134.51,149.61,147.43,142.09,152.97,159.79,146.92,135.85,161.79,140.34,124.55
MAP7D3,126.08,113.94,136.75,118.82,121.14,110.77,105.9,119.93,122.7,141.28,116.71,107.57
INTS13,127.32,120.27,132.05,119.15,125.07,120.27,131.43,136.42,96.41,109.38,120.88,124.55
MFSD10,152.23,140.84,160.28,155.5,153.22,136.09,151.28,157.41,135.85,168.62,148.67,134.46
TRMT61B,142.89,139.25,163.1,142.38,154.53,166.68,148.45,175.4,162.14,152.67,154.23,151.44
GPATCH8,124.21,131.34,117.93,124.2,121.79,147.69,121.97,125.93,131.46,136.72,113.94,106.15
AP3M2,125.76,121.85,117.62,125.21,110.01,108.66,130.48,119.93,109.55,141.28,137.56,131.63
ZNF37A,170.9,162.99,166.55,190.51,155.19,174.07,161.68,163.41,148.99,177.74,168.12,159.93
UQCC1,171.53,167.74,154.32,165.94,152.57,183.56,163.58,146.92,166.52,177.74,169.51,152.86
SNAPC5,75.96,71.21,82.49,83.14,89.71,94.95,84.15,88.45,96.41,113.94,83.37,82.09
PARP16,171.21,128.18,164.36,149.78,158.46,145.58,153.17,151.41,157.76,164.07,145.89,152.86
MRPL46,115.8,107.61,106.33,117.13,113.94,122.38,116.3,113.94,96.41,143.56,112.55,110.4
ZNF711,141.02,134.51,124.52,152.81,162.39,152.97,146.56,157.41,153.37,159.51,154.23,140.12
FRS2,195.5,193.06,206.39,203.97,201.02,194.11,225.98,220.38,210.34,211.92,223.7,203.81
MYL5,113.62,126.59,98.8,112.08,105.42,122.38,99.28,116.93,109.55,139,112.55,113.23
TBC1D20,133.86,151.91,150.55,169.64,144.06,138.2,151.28,155.91,148.99,166.35,166.73,142.95
MICU1,96.81,106.02,98.8,95.59,88.4,79.12,91.72,95.95,96.41,123.05,93.09,80.67
CWF19L1,150.98,139.25,138.64,131.61,153.22,129.76,134.26,154.41,162.14,164.07,144.5,145.78
LIMD1,168.1,170.9,154.32,151.47,146.68,169.85,149.39,154.41,153.37,180.02,151.45,142.95
TRIAP1,132.3,107.61,120.76,129.59,96.26,114.99,122.92,127.43,109.55,127.61,104.21,108.98
USP24,161.88,174.07,165.61,168.29,174.83,138.2,148.45,154.41,166.52,168.62,157.01,176.92
PSRC1,136.35,121.85,127.97,133.29,142.75,156.13,157.9,128.93,144.61,150.39,148.67,134.46
ARHGAP32,121.72,91.78,120.13,122.18,111.32,103.39,111.57,113.94,131.46,118.49,104.21,96.24
AMN1,112.07,107.61,131.42,124.54,127.03,121.32,119.14,121.43,109.55,143.56,141.72,114.64
GLA,146,153.5,153.38,142.04,153.88,168.79,147.5,172.4,144.61,175.46,169.51,157.1
MOB4,142.89,117.1,140.2,144.06,161.74,141.36,139.94,146.92,131.46,157.23,138.95,131.63
EIF2B3,117.36,101.28,123.27,114.44,129,122.38,125.75,134.92,127.08,143.56,105.6,121.72
EXOSC9,168.72,156.66,171.26,165.6,171.56,178.29,178.7,200.89,162.14,173.18,186.19,167.01
ILKAP,143.82,153.5,132.99,131.27,154.53,135.03,141.83,154.41,127.08,159.51,148.67,125.97
CASP7,130.43,113.94,107.27,107.37,112.63,129.76,109.68,97.44,105.17,132.17,112.55,99.07
MAN1A2,69.11,93.36,80.61,76.41,58.93,65.41,63.35,71.96,70.11,50.13,61.14,55.2
BCKDK,162.5,147.17,154.95,175.7,142.09,148.75,145.61,140.92,148.99,175.46,145.89,152.86
POLG2,126.7,131.34,136.13,148.1,149.95,145.58,155.07,136.42,157.76,154.95,166.73,151.44
SMNDC1,166.23,161.41,170.94,156.18,170.9,151.91,161.68,175.4,166.52,159.51,132,148.61
POU6F1,149.42,161.41,160.28,146.75,153.88,150.86,173.98,149.92,157.76,182.3,177.85,168.43
POLR3B,141.02,107.61,119.5,106.03,115.9,130.81,112.52,112.44,113.94,139,106.99,120.3
ZNF652,116.43,112.35,134.56,153.48,109.35,114.99,116.3,124.43,127.08,127.61,118.1,127.38
FANCE,135.42,142.42,137.38,151.8,163.05,167.74,166.41,152.91,144.61,136.72,154.23,164.18
TSPYL4,125.14,142.42,135.19,109.05,146.02,133.98,146.56,130.43,144.61,143.56,145.89,120.3
NSMAF,148.18,140.84,160.28,128.24,150.6,136.09,141.83,134.92,113.94,148.12,148.67,147.2
ARID4B,126.7,134.51,138.64,117.47,110.01,105.5,115.35,125.93,118.32,134.44,122.27,99.07
CENPE,111.13,94.95,96.92,108.72,97.57,116.05,107.79,100.44,92.02,134.44,106.99,92
AACS,98.68,102.86,107.9,98.28,106.08,121.32,112.52,113.94,100.79,139,94.48,104.74
CREB1,213.24,219.96,226.46,237.97,218.05,217.32,212.74,215.88,227.87,195.97,233.43,239.19
R3HDM1,134.48,120.27,136.13,120.5,147.99,156.13,151.28,127.43,148.99,127.61,132,144.37
GTF3C3,180.86,215.21,194.47,189.5,195.13,215.21,208.01,215.88,201.58,198.25,215.37,188.24
RPAP3,132.92,137.67,139.26,140.02,110.66,114.99,127.65,130.43,113.94,148.12,115.32,121.72
NOL10,156.89,150.33,165.3,148.77,163.7,163.52,134.26,173.9,135.85,164.07,157.01,167.01
SHOC2,129.5,117.1,136.75,128.91,120.48,137.14,121.03,116.93,113.94,152.67,141.72,142.95
SH3BP5L,100.55,98.11,107.58,103.67,87.74,105.5,84.15,98.94,105.17,113.94,84.76,70.77
CYREN,116.74,107.61,115.43,112.08,130.31,131.87,125.75,103.44,127.08,141.28,122.27,100.49
MFAP1,103.04,96.53,103.51,102.32,111.97,103.39,120.08,127.43,87.64,125.33,93.09,107.57
CCM2,127.32,104.44,108.52,125.55,100.18,113.94,112.52,118.43,83.26,97.98,100.04,108.98
MSH3,159.07,151.91,157.77,156.51,153.22,126.59,141.83,118.43,148.99,148.12,152.84,145.78
TTC13,139.77,145.58,153.69,124.87,132.92,126.59,133.32,137.92,122.7,154.95,120.88,117.47
TBKBP1,106.15,140.84,113.86,128.91,121.14,130.81,118.19,130.43,118.32,152.67,118.1,125.97
TAF11,181.8,185.15,150.87,183.78,170.9,167.74,173.98,179.9,153.37,159.51,165.35,152.86
ATAD1,170.9,193.06,163.41,164.93,159.77,168.79,180.59,172.4,170.9,193.69,172.29,196.73
NVL,155.96,172.49,156.2,131.61,156.5,140.31,154.12,158.91,153.37,173.18,145.89,137.29
NSF,109.58,96.53,101.62,113.09,113.28,116.05,97.39,115.43,135.85,132.17,101.43,121.72
CAMSAP1,147.87,140.84,135.5,147.76,116.55,141.36,120.08,112.44,127.08,148.12,133.39,124.55
SNX8,94.32,113.94,103.51,92.56,101.49,102.33,106.84,115.43,83.26,132.17,101.43,113.23
UCKL1,192.07,183.56,214.54,188.49,184,164.57,206.12,196.39,192.81,186.85,197.3,181.16
CARS2,105.53,113.94,100.68,111.41,123.76,121.32,121.97,103.44,127.08,127.61,86.15,103.32
CASD1,111.45,123.43,108.84,113.77,133.58,112.88,127.65,119.93,118.32,148.12,98.65,118.89
TPST1,46.07,61.72,46.73,54.53,57.62,56.97,55.79,71.96,43.82,82.03,40.29,39.63
CCDC82,82.81,80.7,72.45,91.22,88.4,96,114.41,104.94,105.17,102.54,98.65,77.84
JADE1,100.86,94.95,114.8,96.26,119.17,110.77,106.84,136.42,100.79,116.21,90.31,101.9
ASDURF,153.78,148.75,143.97,165.27,134.89,146.64,150.34,134.92,166.52,177.74,161.18,151.44
FBF1,77.82,99.69,84.37,83.81,77.92,82.29,77.53,86.95,65.73,111.66,65.3,86.34
TSG101,174.64,144,188.51,170.65,164.36,168.79,152.23,163.41,166.52,184.58,183.41,169.84
CACNA1A,89.34,83.87,68.38,83.47,63.52,79.12,70.91,59.97,87.64,95.71,66.69,55.2
MMGT1,233.79,232.62,227.4,245.71,214.12,237.37,214.63,226.37,214.72,214.2,230.65,253.35
MAU2,111.13,126.59,107.58,105.69,132.27,108.66,128.59,137.92,105.17,139,111.16,111.81
ATR,106.46,107.61,120.76,126.56,146.68,137.14,131.43,128.93,122.7,141.28,123.66,108.98
TBC1D10B,148.8,142.42,141.77,146.42,136.2,135.03,125.75,152.91,140.23,168.62,147.28,117.47
DDI2,133.24,153.5,137.07,119.83,130.96,155.08,144.66,116.93,153.37,152.67,144.5,137.29
PTPN12,141.33,139.25,141.77,141.7,140.13,159.3,124.81,140.92,127.08,152.67,169.51,128.8
BOD1L1,143.82,147.17,162.79,140.02,170.9,179.34,137.1,154.41,144.61,166.35,152.84,152.86
TTLL5,161.56,166.16,174.71,144.06,144.06,137.14,140.88,134.92,144.61,161.79,140.34,141.53
TTBK2,137.28,110.77,135.81,132.62,155.84,158.24,151.28,140.92,153.37,132.17,143.11,140.12
LZTS2,171.21,175.65,188.82,187.48,208.23,189.89,195.72,200.89,175.29,164.07,177.85,193.9
NDUFAF6,141.33,151.91,148.36,141.7,129.65,132.92,124.81,116.93,153.37,159.51,152.84,134.46
PRKRA,195.18,180.4,178.47,196.23,202.99,177.23,208.01,176.9,201.58,191.41,207.03,171.26
IRAK1BP1,106.46,140.84,115.43,115.45,103.46,97.06,111.57,110.94,87.64,123.05,108.38,111.81
ABHD2,160.32,150.33,169.69,168.63,164.36,147.69,189.1,169.4,184.05,182.3,154.23,162.76
PTP4A1,194.25,193.06,194.78,187.48,180.07,206.77,196.67,202.39,192.81,173.18,179.24,159.93
KIF7,175.88,180.4,186,178.39,157.81,151.91,178.7,173.9,184.05,202.81,168.12,181.16
PDE3B,82.81,98.11,82.81,70.35,76.61,88.62,82.26,74.96,87.64,111.66,79.2,59.44
NOP9,215.11,196.22,214.85,177.05,199.06,216.27,202.34,187.39,214.72,193.69,184.8,193.9
MRRF,138.53,150.33,139.26,143.72,130.31,126.59,117.24,149.92,135.85,168.62,134.78,148.61
ANO8,179,193.06,184.74,183.44,177.45,154.02,158.85,187.39,157.76,170.9,184.8,161.35
PEX10,212.93,218.38,207.95,204.31,210.19,209.94,203.29,202.39,236.64,189.13,215.37,234.95
TANK,171.21,153.5,159.02,146.08,166.32,194.11,158.85,184.4,153.37,166.35,165.35,165.6
COX18,182.42,204.13,187.88,194.55,180.07,213.1,204.23,190.39,219.11,214.2,183.41,195.32
ORMDL3,121.72,123.43,111.03,117.47,101.49,97.06,106.84,88.45,100.79,127.61,95.87,89.17
NBEAL2,87.79,106.02,105.39,82.46,94.29,87.56,80.37,77.96,100.79,118.49,86.15,73.6
DONSON,111.45,128.18,107.9,115.79,108.7,126.59,129.54,125.93,100.79,145.84,126.44,101.9
SEPHS2,178.06,159.83,166.55,188.15,142.09,159.3,140.88,164.91,170.9,173.18,158.4,164.18
KCTD13,133.86,151.91,159.02,154.49,144.71,160.35,164.52,161.91,153.37,184.58,162.57,178.33
TMEM168,124.83,132.92,129.54,119.15,104.77,111.83,96.44,104.94,113.94,129.89,105.6,92
NGLY1,171.53,147.17,180.98,153.82,142.09,154.02,148.45,142.42,148.99,161.79,137.56,171.26
CCDC130,87.16,98.11,87.2,81.79,87.09,93.89,86.04,82.45,83.26,132.17,90.31,90.58
UBN1,187.71,204.13,209.84,185.46,193.17,168.79,179.65,181.4,170.9,177.74,163.96,181.16
LY96,69.73,90.2,95.04,70.68,98.87,94.95,73.75,94.45,83.26,113.94,105.6,92
ZCCHC12,141.95,117.1,152.44,132.62,132.27,142.42,128.59,145.42,157.76,164.07,126.44,145.78
CRAMP1,113.62,106.02,122.33,118.82,117.21,124.48,117.24,83.95,92.02,129.89,112.55,99.07
TMEM131,172.77,161.41,182.55,170.99,146.02,150.86,148.45,140.92,148.99,173.18,173.68,167.01
LRRFIP1,135.1,150.33,134.24,134.97,146.02,143.47,137.1,127.43,162.14,154.95,136.17,108.98
PPRC1,116.43,126.59,126.09,135.98,118.52,143.47,120.08,136.42,105.17,125.33,108.38,96.24
URB1,168.41,194.64,159.02,176.04,171.56,158.24,156.01,158.91,148.99,164.07,140.34,165.6
ERCC4,126.7,140.84,136.13,128.24,130.96,113.94,129.54,106.44,127.08,159.51,138.95,117.47
NCK1,129.81,109.19,109.78,139.01,127.03,124.48,116.3,139.42,131.46,159.51,127.83,125.97
CDK19,168.41,161.41,174.08,187.14,151.91,160.35,156.01,131.93,166.52,170.9,154.23,171.26
INF2,148.18,153.5,141.46,131.61,157.15,142.42,143.72,151.41,140.23,136.72,120.88,108.98
ESS2,209.5,232.62,203.88,205.32,198.4,208.88,202.34,199.39,179.67,218.76,184.8,200.98
FHIP1B,136.97,166.16,159.02,145.07,126.38,151.91,147.5,134.92,153.37,175.46,161.18,154.27
WDTC1,136.04,151.91,150.55,127.57,121.14,128.7,116.3,151.41,118.32,132.17,133.39,111.81
GAPVD1,153.47,153.5,155.57,168.63,132.92,130.81,140.88,119.93,144.61,139,143.11,125.97
EXTL2,89.65,80.7,109.15,94.92,68.75,79.12,96.44,94.45,96.41,118.49,90.31,76.43
FBXO46,154.72,151.91,178.78,162.91,174.83,171.96,155.07,142.42,140.23,180.02,147.28,154.27
TOE1,80.94,98.11,92.84,82.13,103.46,82.29,103.06,100.44,70.11,107.1,84.76,63.69
FAM53C,179.93,164.57,169.06,182.77,189.24,160.35,182.49,172.4,162.14,191.41,201.47,198.15
ZNF883,109.89,90.2,117.62,120.5,127.69,120.27,133.32,136.42,113.94,136.72,120.88,101.9
NAA20,241.57,242.11,233.67,220.13,216.08,225.76,231.65,223.37,254.16,218.76,201.47,230.7
KIF20A,150.67,153.5,142.71,150.46,145.37,110.77,134.26,127.43,122.7,150.39,125.05,127.38
CTCF,159.07,109.19,142.4,132.95,146.02,161.41,138.99,151.41,131.46,139,130.61,140.12
CAB39,83.74,94.95,109.47,97.95,112.63,101.28,114.41,115.43,105.17,125.33,136.17,101.9
PDCD7,139.15,120.27,131.11,137.66,134.89,143.47,152.23,133.42,166.52,136.72,151.45,114.64
MOGS,143.82,167.74,174.71,148.77,178.11,174.07,177.76,160.41,170.9,168.62,161.18,196.73
MAP3K2,156.27,155.08,163.73,159.21,137.51,114.99,133.32,151.41,140.23,136.72,133.39,151.44
TPRN,81.56,79.12,87.2,82.8,117.21,89.67,105.9,104.94,105.17,120.77,104.21,90.58
KIAA1109,111.13,132.92,122.64,113.77,108.04,130.81,107.79,112.44,109.55,141.28,104.21,90.58
ZNF639,202.66,174.07,184.74,167.96,187.93,197.28,164.52,184.4,205.96,184.58,207.03,182.58
SLK,123.9,150.33,135.5,157.19,147.33,133.98,140.88,154.41,148.99,177.74,155.62,135.87
POMC,99.93,115.52,79.98,88.86,106.08,107.61,116.3,122.93,113.94,132.17,105.6,106.15
ZNF853,125.14,99.69,117.62,127.9,113.94,127.65,118.19,119.93,144.61,145.84,101.43,117.47
CUL7,221.02,231.04,241.83,222.49,201.02,216.27,226.93,205.38,201.58,211.92,197.3,200.98
ZWILCH,142.26,132.92,140.83,143.72,121.79,136.09,132.37,143.92,148.99,177.74,144.5,125.97
KCTD2,134.79,131.34,121.07,152.47,151.91,154.02,125.75,139.42,162.14,161.79,134.78,155.69
C5orf22,169.97,172.49,158.08,141.7,174.83,179.34,194.78,184.4,162.14,180.02,162.57,158.52
TGOLN2,212.31,208.88,224.26,206.67,233.11,208.88,233.54,194.89,214.72,232.43,241.77,229.29
LDLRAP1,98.06,110.77,94.41,85.49,123.1,129.76,110.63,128.93,113.94,127.61,119.49,114.64
MGME1,126.08,101.28,123.58,137.66,100.84,117.1,120.08,109.44,135.85,148.12,120.88,116.06
SLC35C2,230.98,215.21,226.77,218.78,210.19,216.27,225.98,208.38,192.81,182.3,209.81,200.98
SURF6,136.97,121.85,138.95,135.65,161.74,145.58,132.37,152.91,127.08,166.35,123.66,145.78
NTHL1,167.48,158.24,150.24,144.06,145.37,142.42,174.92,127.43,166.52,152.67,172.29,144.37
EFNA4,119.23,134.51,123.89,107.04,108.04,109.72,100.23,103.44,113.94,148.12,101.43,117.47
WWP1,98.37,99.69,94.72,95.93,93.64,93.89,85.1,109.44,105.17,141.28,98.65,90.58
SPATC1L,82.81,109.19,89.39,100.98,100.18,108.66,116.3,112.44,109.55,134.44,126.44,101.9
UBR2,116.11,131.34,118.56,110.06,113.28,149.8,123.86,125.93,113.94,148.12,147.28,131.63
TNPO2,144.75,164.57,153.38,152.81,154.53,164.57,156.96,149.92,140.23,189.13,157.01,182.58
RUNX1T1,130.75,137.67,123.89,142.38,117.86,120.27,151.28,122.93,127.08,161.79,129.22,113.23
PTRHD1,210.13,199.39,192.27,175.7,193.82,164.57,169.25,175.4,184.05,198.25,204.25,186.83
SART3,237.21,234.2,233.67,217.1,205.61,233.15,227.87,235.37,201.58,205.08,201.47,223.62
GAB1,131.68,113.94,108.52,119.83,131.62,143.47,141.83,122.93,122.7,136.72,155.62,148.61
SLC25A36,101.79,110.77,111.98,94.24,106.73,84.4,86.04,118.43,127.08,123.05,104.21,124.55
ERAL1,203.9,185.15,194.47,182.77,186.62,161.41,169.25,185.89,153.37,186.85,166.73,178.33
PLPPR2,118.92,144,131.11,145.41,141.44,139.25,152.23,173.9,153.37,157.23,161.18,154.27
ATG4A,51.36,66.46,48.62,59.58,52.38,64.35,85.1,68.96,65.73,95.71,65.3,48.12
ZSWIM7,162.5,120.27,139.26,131.61,146.68,145.58,145.61,122.93,140.23,152.67,122.27,116.06
EMSY,150.67,151.91,166.55,163.92,151.91,165.63,171.14,146.92,148.99,193.69,168.12,140.12
RAB11FIP2,146.31,156.66,175.33,163.92,155.84,141.36,154.12,145.42,148.99,191.41,147.28,167.01
RAP1A,151.6,159.83,143.34,143.05,149.95,171.96,141.83,167.9,175.29,186.85,163.96,150.03
FBXL20,121.1,93.36,129.85,119.49,110.66,111.83,116.3,88.45,113.94,123.05,116.71,142.95
GLT8D1,136.97,142.42,138.32,143.39,148.64,151.91,153.17,149.92,170.9,150.39,108.38,150.03
ZNF3,143.2,148.75,138.64,150.79,149.95,156.13,127.65,148.42,153.37,180.02,123.66,137.29
ACAD8,188.96,181.98,196.35,176.71,185.96,165.63,197.61,193.39,153.37,184.58,161.18,193.9
NELFA,242.19,283.26,257.51,234.6,272.4,245.81,247.73,253.36,254.16,257.49,240.38,234.95
VPS13D,161.88,162.99,144.6,132.95,166.32,173.01,159.79,173.9,188.43,161.79,175.07,154.27
TTL,142.26,148.75,142.4,119.83,122.45,132.92,121.97,142.42,135.85,170.9,137.56,121.72
NKIRAS2,164.99,131.34,153.06,183.44,169.59,180.4,169.25,152.91,166.52,175.46,159.79,150.03
COPG1,221.33,205.72,195.72,210.03,195.13,209.94,203.29,173.9,188.43,177.74,180.63,188.24
BRAP,90.9,88.62,95.04,91.89,114.59,110.77,118.19,131.93,109.55,113.94,127.83,97.66
NEMP1,153.16,151.91,160.59,173.01,154.53,150.86,148.45,142.42,113.94,157.23,134.78,157.1
PIGU,82.18,74.37,97.86,87.51,100.84,88.62,98.33,106.44,92.02,132.17,88.93,104.74
PDSS2,91.21,106.02,99.12,99.29,112.63,123.43,110.63,128.93,83.26,129.89,119.49,103.32
EXO5,85.92,88.62,96.61,87.18,85.78,111.83,103.06,104.94,127.08,125.33,95.87,89.17
SLITRK5,76.27,99.69,75.9,79.1,89.71,97.06,102.12,82.45,83.26,127.61,97.26,100.49
ZNF226,80.94,87.03,91.27,121.85,83.81,98.11,100.23,118.43,105.17,125.33,108.38,99.07
SLC35A5,103.66,82.29,111.35,119.49,108.7,128.7,125.75,127.43,96.41,118.49,91.7,113.23
LAMTOR3,118.6,90.2,130.17,127.23,106.08,106.55,121.97,125.93,135.85,129.89,116.71,93.41
LSM8,166.54,164.57,187.25,173.01,165.01,161.41,158.85,176.9,188.43,193.69,169.51,140.12
RBM28,147.24,132.92,155.89,147.76,135.54,139.25,146.56,128.93,175.29,164.07,170.9,144.37
CDC16,166.54,185.15,172.2,159.21,166.32,170.9,167.36,160.41,148.99,189.13,155.62,134.46
GOLGB1,99.62,106.02,86.88,104.01,91.67,98.11,91.72,98.94,113.94,139,91.7,83.51
GCC2,174.64,139.25,170,159.88,153.88,171.96,156.01,170.9,184.05,159.51,191.74,150.03
RPE,185.85,151.91,180.67,176.71,143.4,160.35,163.58,163.41,188.43,191.41,173.68,174.09
HYLS1,109.89,113.94,129.85,121.51,100.18,136.09,119.14,134.92,113.94,143.56,97.26,104.74
LYRM4,194.56,175.65,185.06,156.51,167.63,154.02,178.7,178.4,192.81,205.08,182.02,182.58
ST8SIA2,81.56,102.86,88.14,108.72,93.64,87.56,95.5,118.43,100.79,134.44,113.94,101.9
IFT43,120.47,123.43,131.74,143.72,108.7,109.72,123.86,110.94,100.79,152.67,116.71,124.55
KRR1,88.41,101.28,95.04,93.57,101.49,99.17,110.63,101.94,113.94,141.28,116.71,124.55
BCS1L,122.34,115.52,106.64,113.77,125.72,120.27,117.24,124.43,148.99,157.23,119.49,110.4
SPSB3,118.92,118.68,128.91,111.75,124.41,114.99,128.59,124.43,135.85,168.62,116.71,133.04
TMEM184B,131.37,137.67,125.15,141.7,172.87,131.87,160.74,142.42,140.23,159.51,162.57,157.1
C15orf40,121.72,134.51,117.31,125.21,132.27,119.21,120.08,125.93,135.85,170.9,147.28,135.87
TMEM33,186.78,183.56,198.86,199.26,181.38,170.9,183.43,197.89,157.76,175.46,212.59,174.09
FDXACB1,160.94,158.24,177.84,166.61,143.4,151.91,141.83,164.91,184.05,159.51,155.62,130.21
LARS2,128.57,120.27,110.41,113.09,127.69,136.09,134.26,122.93,135.85,157.23,152.84,111.81
FASTKD2,161.56,170.9,154,150.46,176.14,165.63,180.59,172.4,127.08,175.46,150.06,158.52
NSRP1,116.74,107.61,116.99,128.58,130.96,151.91,130.48,116.93,135.85,120.77,154.23,147.2
E4F1,154.72,183.56,157.14,153.15,168.94,148.75,164.52,139.42,184.05,150.39,147.28,138.7
FUT8,82.49,80.7,94.1,87.51,98.22,109.72,99.28,107.94,100.79,132.17,91.7,77.84
CCDC71L,126.39,139.25,133.3,120.16,152.57,152.97,157.9,152.91,122.7,166.35,143.11,130.21
ZSCAN32,143.2,118.68,130.17,139.35,144.06,138.2,160.74,146.92,140.23,177.74,155.62,152.86
HOXC4,108.64,115.52,107.9,114.44,98.87,125.54,122.92,106.44,109.55,157.23,116.71,104.74
XRN1,139.46,147.17,133.62,125.88,137.51,152.97,138.05,145.42,140.23,184.58,140.34,128.8
MFN2,143.51,162.99,156.51,161.56,129,130.81,138.99,127.43,118.32,136.72,129.22,121.72
BRPF3,147.56,151.91,136.75,167.28,152.57,126.59,113.46,118.43,140.23,141.28,130.61,138.7
SYNE1,73.16,77.54,81.86,87.18,85.78,88.62,87.93,98.94,105.17,129.89,84.76,100.49
UBE2Q2,164.99,142.42,145.85,128.58,130.31,173.01,150.34,163.41,166.52,159.51,132,150.03
PCYT1A,146.31,159.83,166.86,159.54,166.32,174.07,166.41,178.4,140.23,191.41,159.79,140.12
RCAN3,169.97,118.68,133.3,141.03,156.5,150.86,148.45,134.92,122.7,134.44,159.79,148.61
MYD88,167.48,145.58,153.06,175.36,171.56,177.23,138.99,166.41,157.76,164.07,155.62,195.32
MED8,94.63,82.29,95.04,108.05,115.25,99.17,120.08,113.94,122.7,136.72,105.6,123.14
ZZZ3,108.02,123.43,124.52,111.41,102.8,111.83,113.46,142.42,140.23,150.39,126.44,110.4
MCCC1,146.93,159.83,142.71,132.95,142.09,151.91,153.17,128.93,170.9,166.35,168.12,125.97
FYCO1,101.79,85.45,91.59,78.76,100.84,105.5,104.01,110.94,109.55,139,101.43,90.58
AAK1,122.65,144,129.54,138,119.83,120.27,121.97,146.92,135.85,159.51,125.05,101.9
TGS1,93.08,102.86,95.35,91.22,105.42,117.1,131.43,115.43,100.79,120.77,137.56,123.14
FAM43A,105.84,99.69,110.72,97.95,99.53,136.09,95.5,91.45,105.17,136.72,104.21,90.58
ERP44,190.2,207.3,208.58,199.6,189.89,160.35,167.36,191.89,179.67,202.81,190.36,203.81
CLOCK,162.81,142.42,175.02,144.4,143.4,176.18,156.01,151.41,162.14,193.69,161.18,167.01
SMURF1,102.42,129.76,122.33,130.26,129,137.14,131.43,139.42,131.46,166.35,147.28,121.72
PPP1R11,158.45,140.84,174.08,169.64,175.49,152.97,140.88,158.91,135.85,180.02,147.28,142.95
ALS2,130.12,162.99,146.16,141.37,134.23,147.69,147.5,134.92,140.23,177.74,136.17,118.89
GUCD1,131.06,147.17,141.15,165.94,129.65,127.65,157.9,161.91,122.7,164.07,134.78,140.12
FSBP,101.79,109.19,99.43,91.55,102.15,105.5,107.79,86.95,78.88,139,108.38,118.89
CEP128,175.26,213.63,207.33,188.49,178.11,187.78,175.87,188.89,197.2,166.35,180.63,212.3
PACC1,130.43,121.85,125.78,129.25,123.1,144.53,126.7,142.42,105.17,164.07,119.49,114.64
GIGYF2,180.24,156.66,167.18,165.94,148.64,161.41,162.63,140.92,122.7,175.46,162.57,159.93
ZNF770,184.29,169.32,179.1,191.18,153.88,168.79,156.96,161.91,148.99,166.35,184.8,141.53
FOXK1,156.58,164.57,142.4,154.49,193.82,171.96,156.96,167.9,162.14,195.97,172.29,171.26
ANO10,124.52,91.78,119.82,109.05,108.7,121.32,118.19,118.43,140.23,143.56,97.26,130.21
LSM6,168.72,128.18,168.43,150.46,156.5,150.86,158.85,166.41,144.61,154.95,118.1,145.78
TMEM177,115.8,123.43,125.78,121.17,121.79,127.65,125.75,109.44,166.52,136.72,148.67,137.29
COQ2,190.83,169.32,176.9,194.21,216.74,213.1,199.51,188.89,166.52,180.02,193.13,185.41
