TargetName,ROI1,ROI2,ROI3,ROI4,ROI5,ROI6,ROI7,ROI8,ROI9,ROI10,ROI11,ROI12
RUVBL1,635.98,591.83,641.11,658.03,461.63,464.18,436.83,400.27,254.16,211.92,304.29,280.24
RNF167,285.46,280.09,274.14,257.15,566.4,597.11,589.06,637.14,652.94,380.54,582.18,561.89
SNF8,618.24,563.35,648.64,835.08,550.69,644.58,548.4,631.14,236.64,280.28,509.93,542.08
ARPC4,488.12,507.96,443.51,509.93,738.62,802.82,678.88,779.56,490.8,259.77,497.43,659.55
HP1BP3,486.87,473.15,481.78,489.4,156.5,190.95,146.56,164.91,131.46,150.39,143.11,171.26
ARPC3,526.1,439.92,582.14,479.64,151.91,155.08,173.98,181.4,219.11,209.64,215.37,205.23
EMCN,59.77,47.47,55.52,62.94,360.14,306.99,390.5,272.85,350.57,243.82,475.19,450.08
SMARCA4,856.69,890.91,665.58,874.8,722.25,698.38,673.21,703.1,438.21,355.48,604.41,720.41
IPO9,690.15,634.56,637.35,508.92,397.46,370.29,392.39,364.29,236.64,189.13,298.73,336.85
FIZ1,206.7,213.63,183.49,202.96,411.87,533.81,403.74,481.23,508.33,328.13,671.11,535
RABAC1,732.18,759.57,666.2,910.47,550.03,448.36,496.4,451.24,547.77,309.9,533.55,574.63
RAB13,581.82,469.98,619.16,726.36,251.44,331.26,266.64,292.33,245.4,296.23,362.65,324.11
AGAP1,516.76,553.85,600.02,617.98,260.61,250.02,240.16,242.86,302.37,246.1,227.87,212.3
COA4,324.37,299.08,303.62,343.32,682.3,632.97,661.87,659.63,574.06,293.95,502.98,593.03
RNPEP,835.53,786.47,730.5,595.09,589.98,562.29,532.33,631.14,950.92,469.41,576.62,949.7
MAPRE1,629.76,640.89,658.36,709.53,348.35,340.75,361.19,334.31,446.98,239.26,326.52,351.01
LSM4,577.46,531.7,536.66,671.83,291.39,270.07,305.4,313.32,197.2,223.31,237.6,257.59
PSMB2,759.26,667.79,648.64,712.56,347.04,348.14,339.44,404.77,416.3,330.41,409.89,403.37
FAM162A,511.15,386.11,477.07,577.92,332.64,204.66,277.98,295.33,815.08,385.1,397.38,321.28
PSMD14,647.5,655.13,548.9,613.6,878.09,835.53,859.48,924.98,578.44,357.76,708.62,743.06
AK3,239.7,237.37,259.08,266.58,459.02,476.84,487.89,503.71,442.6,255.22,636.37,719
CARD8,285.15,291.17,231.16,274.32,621.41,607.66,558.8,592.16,214.72,207.36,366.82,348.18
SRSF3,1012.97,925.73,963.86,901.72,900.35,862.96,870.83,944.46,687.99,401.05,750.31,829.39
BCAP31,529.83,620.32,489.93,620.33,275.02,270.07,249.62,281.84,210.34,214.2,212.59,225.04
PHC2,757.7,716.84,683.46,652.65,471.46,461.02,451.01,578.67,337.42,241.54,377.93,399.13
TATDN1,234.1,242.11,274.14,246.72,464.91,452.58,424.54,484.23,543.38,334.97,711.4,679.37
RSL24D1,448.58,381.37,477.7,388.42,612.89,637.19,586.22,641.64,964.07,505.87,744.75,668.04
EGFL7,222.27,205.72,209.21,223.5,387.64,332.31,365.92,386.78,810.69,448.91,314.02,324.11
GDI2,690.46,563.35,668.71,639.86,872.2,818.65,803.69,791.55,539,344.08,500.2,443
NFKBIA,112.07,128.18,124.21,78.09,235.07,264.79,257.18,242.86,188.43,189.13,546.06,605.77
NFIB,565.94,520.62,491.18,396.84,161.08,170.9,199.51,197.89,157.76,216.48,122.27,130.21
DEK,791.01,609.24,808.29,523.06,649.56,625.59,657.14,619.15,337.42,218.76,576.62,561.89
PSMB5,712.87,564.93,702.9,416.36,742.54,662.51,712.92,658.13,341.81,227.87,501.59,503.86
BARX2,96.81,91.78,91.27,101.31,254.72,275.34,294.06,269.85,631.03,319.02,352.92,478.39
ATAD3A,818.4,821.28,822.41,782.23,819.16,761.68,756.42,829.03,503.95,296.23,569.68,711.92
WNT10A,135.73,174.07,144.6,152.81,381.09,399.83,375.37,427.26,276.07,325.86,623.87,595.86
NCKAP1L,284.84,438.33,269.12,227.87,555.27,514.82,495.45,541.19,219.11,250.66,668.33,645.4
LMNA,661.51,691.52,642.05,423.09,295.97,428.31,342.28,400.27,223.49,195.97,522.44,536.42
UPK3BL1,625.4,808.62,670.6,565.47,346.39,333.37,333.77,356.8,306.75,319.02,469.64,393.47
CCNY,645.32,621.9,575.24,567.49,279.6,320.71,277.04,320.82,337.42,303.07,202.86,176.92
MPHOSPH6,142.89,180.4,167.81,148.77,536.28,528.53,496.4,538.19,289.22,259.77,423.78,505.28
SLC2A3,37.67,39.56,39.83,48.13,136.2,161.41,142.77,154.41,595.97,366.87,315.41,242.02
PTPN11,629.45,577.59,632.33,698.42,328.71,391.39,347.95,374.79,249.78,177.74,318.19,349.59
EIF4G1,704.78,667.79,668.4,618.99,814.57,827.09,799.91,853.02,411.92,334.97,484.92,683.61
CAPNS1,940.75,951.04,919.95,740.16,762.84,622.42,702.52,641.64,727.43,385.1,862.85,925.64
PSMD8,1139.35,1161.51,1107.2,1081.12,912.14,901.99,886.9,938.47,942.16,533.22,868.41,955.36
EIF3G,1025.11,917.81,786.65,879.17,1050.96,1019.09,1017.38,1050.9,819.46,508.15,1061.54,1095.48
RPN1,562.21,596.58,578.69,604.85,339.84,309.1,293.11,320.82,153.37,186.85,275.11,219.38
TRIM44,253.4,216.79,260.65,245.71,561.82,608.71,562.59,541.19,499.56,321.3,540.5,687.86
NOP56,823.7,810.21,769.08,855.27,703.26,743.75,730.89,640.14,468.89,334.97,461.3,523.68
PHAX,1069.31,1098.21,1020.32,1113.77,1043.75,965.29,968.21,984.94,880.81,487.64,1099.06,1030.37
PSMB7,1109.47,1077.64,1096.85,994.96,1154.41,1057.07,1163.94,1026.92,955.3,565.12,1121.29,1232.77
TUBB3,59.46,52.22,61.48,149.45,451.16,503.21,486.94,448.25,306.75,268.89,279.28,266.09
EID1,781.98,640.89,719.84,825.32,464.91,389.28,421.7,451.24,482.03,323.58,398.77,409.04
LYRM2,996.47,1077.64,947.24,1060.93,870.23,788.05,820.71,742.08,929.01,480.81,1036.53,997.82
KPNA2,687.35,547.52,592.18,745.21,414.49,481.06,410.36,455.74,241.02,227.87,247.32,356.67
RABL6,540.1,490.56,492.44,528.44,691.47,700.49,687.39,697.1,245.4,223.31,337.64,488.29
PRAC2,206.08,164.57,187.57,230.56,623.37,506.38,607.97,545.69,451.36,246.1,464.08,400.54
RPS6KB2,277.99,332.31,271.94,323.8,635.81,707.88,630.66,688.11,587.21,344.08,523.82,618.51
PDIA6,772.33,862.43,753.4,853.25,816.54,905.15,762.09,863.51,565.29,312.18,579.4,658.14
TMEM98,492.79,422.51,519.41,485.02,146.02,147.69,125.75,164.91,105.17,145.84,132,125.97
SPC24,409.36,357.63,285.43,368.9,713.73,655.13,738.45,634.14,372.48,314.46,568.29,675.12
MCM5,634.12,553.85,604.73,601.48,812.61,763.79,900.14,703.1,464.51,266.61,671.11,798.26
H2AC7,670.23,477.9,612.57,651.64,335.91,309.1,359.3,359.8,201.58,225.59,269.55,216.55
TOMM40,344.61,376.62,355.37,417.71,742.54,693.11,706.3,634.14,394.39,291.67,493.26,716.17
SH3BGRL,564.07,457.32,600.65,601.82,189.24,185.67,191.94,197.89,284.84,271.17,222.31,226.46
NLGN4X,437.69,460.49,346.9,604.18,132.92,124.48,136.16,152.91,135.85,157.23,123.66,107.57
B3GAT3,281.73,360.8,332.79,381.69,748.44,531.7,739.4,575.67,390.01,296.23,561.34,680.78
ID1,62.57,56.97,53.64,59.24,295.32,301.72,307.29,245.86,604.73,362.31,318.19,414.7
CTNNB1,705.4,677.28,728.31,698.42,445.92,335.48,395.23,409.27,381.25,227.87,350.14,433.1
COL16A1,76.89,69.63,64.61,79.44,449.19,443.08,467.09,473.73,236.64,161.79,348.75,363.74
LONP1,487.18,651.96,534.16,588.02,883.33,920.98,849.08,875.5,617.88,396.5,757.25,745.89
CKS2,657.77,441.5,605.67,571.53,241.62,221.54,235.43,223.37,227.87,239.26,251.49,225.04
KLHL13,518.31,401.94,493.07,411.99,93.64,129.76,97.39,128.93,78.88,141.28,111.16,118.89
CERK,599.25,631.39,577.13,462.47,279.6,279.56,268.53,325.32,109.55,193.69,230.65,253.35
PTPRS,744.32,727.92,709.18,758,690.82,751.13,629.72,830.53,363.72,236.99,685,643.98
TPR,876.62,776.98,903.64,669.14,542.18,628.75,541.78,619.15,442.6,300.79,532.16,546.32
RAD23A,934.52,946.3,979.23,980.82,849.28,883,827.33,893.49,574.06,398.77,862.85,886.01
SNRPA1,368.58,352.88,336.55,375.63,715.04,711.04,684.56,676.12,666.08,341.81,669.72,714.75
ID3,113.94,96.53,73.4,147.76,474.08,359.74,475.6,364.29,578.44,314.46,454.35,445.83
SYP,112.69,102.86,127.34,138.67,302.52,213.1,337.55,287.84,591.59,378.27,394.61,610.01
PDCL3,163.43,167.74,148.67,164.59,497.65,526.42,599.46,536.7,539,312.18,361.26,455.74
EBNA1BP2,319.7,278.51,315.85,353.08,706.53,635.08,706.3,680.61,398.77,264.33,483.53,564.72
JTB,770.78,686.78,749.32,699.1,550.69,618.21,522.87,664.12,297.98,257.49,365.43,474.14
CENPX,811.56,601.33,713.25,926.29,559.86,539.08,568.26,529.2,416.3,300.79,430.73,461.4
CENPV,582.13,392.44,499.65,486.03,108.7,141.36,131.43,139.42,179.67,207.36,150.06,125.97
NDUFA4,818.09,743.75,783.2,788.29,728.79,962.12,669.43,887.5,464.51,319.02,747.53,660.97
BGN,75.33,712.1,76.22,74.72,148.64,138.2,128.59,149.92,306.75,168.62,151.45,154.27
HNRNPR,655.28,563.35,591.55,593.07,267.81,247.92,255.29,245.86,249.78,252.94,229.26,227.87
JAK3,63.82,96.53,69.32,76.41,190.55,186.73,172.09,178.4,556.53,385.1,469.64,454.33
USP14,731.55,634.56,677.18,680.25,677.72,891.44,654.3,890.5,368.1,312.18,504.37,587.37
GLO1,828.68,607.66,757.48,799.06,643.01,630.86,595.68,608.65,451.36,280.28,911.48,809.58
IARS1,1031.02,762.73,1010.28,890.95,717.66,793.33,729.94,718.09,517.09,410.17,803.11,772.78
IPO7,706.65,604.49,727.99,719.29,410.56,355.52,367.81,367.29,350.57,227.87,315.41,394.88
FBLN1,685.17,682.03,562.38,717.94,421.69,432.53,393.34,536.7,188.43,193.69,415.45,377.9
AP2B1,678.94,569.68,682.83,652.31,312.99,292.22,280.82,292.33,350.57,278,264,284.48
KMO,587.42,482.64,495.58,332.21,140.13,124.48,129.54,124.43,140.23,150.39,141.72,123.14
ETV3,326.86,344.97,324.95,300.91,573.61,680.45,650.52,694.11,617.88,344.08,741.97,675.12
UQCRC2,769.53,674.12,748.38,706.84,593.9,291.17,518.15,317.82,771.26,458.02,715.57,785.52
AMOTL1,591.16,507.96,535.41,516.66,186.62,182.51,205.18,200.89,148.99,227.87,163.96,150.03
MTA1,959.73,1117.2,969.51,1026.26,945.53,905.15,919.99,915.98,793.17,426.12,754.47,751.55
MAPK1IP1L,819.65,667.79,799.51,560.08,883.98,890.38,854.75,808.04,631.03,346.36,879.53,975.17
CHP1,213.86,210.46,201.99,195.56,570.99,592.89,565.42,611.65,582.82,300.79,498.81,498.2
CCT8,650.3,651.96,625.12,609.23,369.96,323.87,347.01,335.81,249.78,182.3,257.05,246.27
PRCP,603.92,545.94,479.89,686.98,248.17,202.55,217.47,158.91,315.51,257.49,266.78,239.19
IRS2,441.73,498.47,516.28,674.86,170.25,206.77,174.92,206.88,127.08,243.82,190.36,200.98
SOX1,28.33,26.9,30.11,27.94,479.31,409.32,450.07,418.26,148.99,166.35,223.7,254.76
ACTR10,377.29,417.76,395.21,290.48,724.86,761.68,722.38,745.08,775.64,469.41,636.37,690.69
OLFM1,171.21,246.86,135.19,260.52,713.08,476.84,585.28,517.21,486.42,280.28,443.24,509.52
QARS1,610.77,477.9,643.94,605.19,216.08,198.33,173.98,209.88,276.07,239.26,294.56,278.82
CHD1L,768.6,701.02,765.95,682.27,313.65,489.5,329.99,457.24,333.04,314.46,419.62,435.93
LGALS3BP,242.5,295.92,196.98,278.02,641.05,642.47,658.08,629.64,464.51,287.12,566.9,537.83
RNF7,355.81,292.75,375.13,411.99,772.67,691,742.23,719.59,644.17,448.91,733.63,702.01
PNRC2,819.96,781.72,789.16,724.34,468.84,476.84,430.21,527.7,486.42,273.44,427.95,401.96
SUB1,549.44,555.44,502.79,582.97,178.11,182.51,183.43,202.39,170.9,177.74,208.42,158.52
BCL2L2,387.57,386.11,379.84,294.18,636.47,675.17,716.71,658.13,731.82,378.27,748.92,781.27
HMGCS1,651.86,458.91,605.04,498.15,253.41,210.99,187.21,185.89,166.52,227.87,195.91,169.84
G3BP2,524.23,430.42,529.14,536.86,146.68,157.19,152.23,139.42,122.7,136.72,122.27,141.53
PSMC5,586.18,571.26,579.95,797.38,986.13,726.87,977.67,865.01,595.97,375.99,621.09,760.04
RGS10,494.03,528.53,616.65,858.3,463.6,493.72,484.11,508.21,1025.42,514.99,750.31,767.12
SIGIRR,156.27,162.99,149.3,162.91,390.26,418.82,386.72,427.26,793.17,353.2,412.67,417.53
RNF175,469.44,454.16,532.9,533.49,129,123.43,120.08,121.43,135.85,195.97,123.66,107.57
HDLBP,903.08,859.26,897.37,927.98,908.86,859.79,920.94,1004.43,657.32,334.97,976.79,919.98
RARRES2,60.39,96.53,713.57,84.15,142.75,147.69,164.52,151.41,162.14,419.28,166.73,165.6
MYL6B,972.19,800.71,877.29,832.38,1069.29,972.67,1080.73,1142.35,766.87,469.41,999.02,1016.22
ANXA5,178.69,128.18,176.9,87.51,502.23,543.3,486.94,557.68,429.45,246.1,509.93,519.43
PRPF39,447.96,443.08,426.89,365.2,734.03,751.13,719.54,760.07,876.43,423.84,762.81,768.53
UPK3BL2,611.7,773.81,653.34,520.7,292.04,279.56,263.8,298.33,271.69,230.15,364.04,324.11
LAMB1,775.13,957.37,752.46,739.82,551.34,572.84,526.66,550.19,363.72,293.95,673.89,697.77
TAL1,103.66,93.36,90.02,88.86,451.16,484.23,461.41,458.74,595.97,403.33,343.2,311.38
RAB1B,644.39,547.52,603.79,621.68,849.28,933.64,864.21,920.48,679.23,362.31,782.26,959.61
CTBP1,837.39,832.36,818.33,904.41,684.27,663.57,632.55,691.11,407.54,300.79,522.44,549.15
PAPSS1,727.51,767.48,702.9,766.75,432.82,484.23,404.68,502.22,280.46,275.72,384.88,390.64
PHGDH,672.72,530.12,645.82,619.32,334.6,298.55,325.26,275.84,214.72,154.95,254.27,236.36
FKBP1A,949.46,769.06,927.17,853.59,608.97,511.65,532.33,596.66,635.41,389.66,497.43,498.2
YPEL5,532.94,528.53,522.24,587.35,333.95,472.62,334.71,460.24,258.55,268.89,818.39,806.75
CBWD2,941.37,947.88,966.37,862.68,688.2,730.03,670.38,680.61,451.36,396.5,653.04,645.4
COPS6,594.89,504.8,587.16,557.39,197.75,196.22,172.09,169.4,210.34,173.18,212.59,185.41
PRDX5,1024.17,826.03,986.76,956.92,1214.66,1143.57,1068.44,1175.33,933.39,517.27,999.02,912.9
LIPI,709.14,729.5,466.72,455.74,393.54,244.75,341.33,268.35,162.14,198.25,276.5,290.15
MBD3,691.08,841.86,659.62,703.13,352.94,397.72,377.26,398.77,293.6,341.81,350.14,393.47
MEGF8,513.02,602.91,487.42,548.64,854.52,883,830.17,902.49,753.73,435.23,950.39,825.15
KLF16,269.58,288,296.4,299.9,665.28,659.35,729.94,719.59,587.21,364.59,608.58,588.78
HSPE1,924.56,789.64,803.27,913.5,957.32,831.31,936.07,836.53,635.41,307.63,604.41,714.75
XRCC6,1048.14,960.54,975.78,1026.93,967.14,979,929.45,948.96,731.82,382.82,744.75,837.89
MSC,118.92,221.54,118.88,99.29,455.09,414.6,422.65,424.26,403.16,193.69,526.6,682.2
CTTN,655.6,659.88,654.91,706.84,1000.54,918.87,934.18,987.94,622.26,369.15,750.31,850.62
DDIT4,124.52,126.59,110.41,158.87,152.57,171.96,136.16,131.93,771.26,330.41,322.35,234.95
PDIA3,848.6,1061.81,847.18,727.03,1155.07,1009.59,997.53,1070.39,815.08,462.58,873.97,966.68
RSL1D1,659.95,590.25,663.7,653.32,268.47,209.94,265.69,182.9,473.27,259.77,434.9,352.42
KRTCAP2,940.43,951.04,966.06,759.68,794.27,584.45,767.76,640.14,591.59,334.97,614.14,614.26
KDM5C,699.49,819.7,589.05,738.81,364.07,392.44,369.7,425.76,376.86,243.82,312.63,377.9
OGT,544.46,735.83,590.93,509.26,267.16,258.46,232.6,193.39,205.96,225.59,247.32,230.7
EI24,606.72,528.53,600.65,623.36,223.94,237.37,243.94,199.39,175.29,227.87,187.58,220.79
PSMB3,559.72,552.27,546.39,598.79,206.26,181.45,223.14,224.87,140.23,207.36,159.79,161.35
MYEOV,102.11,117.1,106.33,102.66,382.4,339.7,387.66,370.29,631.03,321.3,548.84,536.42
