"","NT5E"
"ADAM10",0.558696668453566
"ADAM11",0.834821236558332
"ADAM12",6.79178339451081e-05
"ADAM17",0.127015239442066
"ADAM19",0.00471818628153642
"ADAM21",0.093711176913474
"ADAM22",0.473774384546419
"ADAM23",0.368636542135918
"ADAM28",0.00187811483998956
"ADAM32",0.632892585532142
"ADAM33",0.00496893660395692
"ADAM3A",0.453395456279435
"ADAM8",0.122438218610672
"ADAM9",0.00924915241795299
"ADAMDEC1",0.000148168600434539
"ADAMTS1",0.0522983759619484
"ADAMTS10",0.341028760679978
"ADAMTS12",0.00725939771458384
"ADAMTS13",0.161907747427757
"ADAMTS14",0.00011588986799449
"ADAMTS15",0.721403107919574
"ADAMTS16",0.0130893016200382
"ADAMTS17",0.934378401781217
"ADAMTS18",0.000121609445318249
"ADAMTS19",0.261056585079689
"ADAMTS2",0.00682627083025555
"ADAMTS20",0.119786767809686
"ADAMTS3",0.000171818644655097
"ADAMTS4",0.84458019087574
"ADAMTS5",0.000100525252945349
"ADAMTS6",0.0166191772815076
"ADAMTS8",0.107293348507878
"ADAMTS9",0.000355397013563907
"ADAMTS9-AS2",0.0197622638243813
"ADAMTSL1",0.000852096362269794
"ADAMTSL3",0.377257450975373
"ADAP1",0.207641553366419
"ADAP2",7.22590395385581e-06
"ADAR",0.782745476959387
"ADARB1",0.899285468289616
"ADARB2",0.686441214843224
"ADARB2-AS1",0.526754769136191
"ADAT1",0.852100576168713
"ADAT2",0.789214073502858
"ADAT3",0.655502557369133
"ADCK1",0.699425100983663
"ADCK2",0.00490477255345412
"ADCK3",0.268385255586386
"ADCK4",0.0252733152525528
"ADCY1",0.0188946273373136
"ADCY10",0.203485173843386
"ADCY10P1",0.558331590333222
"ADCY2",0.851860565383391
"ADCY3",0.113115546093761
"ADCY4",2.07799085050198e-07
"ADCY6",0.262635014844246
"ADCY7",0.387079773929146
"ADCY9",0.600404947095429
"ADCYAP1R1",0.203395857857078
"ADD1",0.221699300610226
"ADD2",0.236725585611515
"ADD3",0.358367637870714
"ADD3-AS1",0.0797156499319038
"ADGB",0.268284801144719
"ADGRA1",0.374091859688883
"ADGRA2",0.0198427979591616
"ADGRA3",0.756478815898601
"ADGRB2",0.593788606879767
"ADGRB3",0.520893618445695
"ADGRD1",0.0153830327466913
"ADGRE1",0.00492243016218152
"ADGRE2",0.573172803538786
"ADGRE5",0.440581456016301
"ADGRF1",0.109433933095537
"ADGRF3",0.766866433160877
"ADGRF4",0.842673900743059
"ADGRF5",5.80231029223555e-07
"ADGRG1",5.76155383564814e-05
"ADGRG2",0.525516567435408
"ADGRG5",0.18987758800937
"ADGRG6",0.0262524213661846
"ADGRG7",0.258931037056344
"ADGRL1",0.00640281680161392
"ADGRL3",0.0047928219744664
"ADGRL4",7.69748655926605e-08
"ADGRV1",0.166814125623437
"ADH1A",0.387944756036786
"ADH1B",0.999593889203754
"ADH4",0.132461607967191
"ADH5",0.13331928949206
"ADH6",0.953603917038629
"ADH7",0.723392190492332
"ADHFE1",0.795251210705463
"ADI1",0.0333138851716406
"ADIPOQ",0.197726448851126
"ADIPOR1",0.763516936480887
"ADIPOR2",0.00274648154123502
"ADIRF",0.000367206155542199
"ADIRF-AS1",0.399591402750283
"ADK",0.42130773710222
"ADM",0.621499265012567
"ADNP",0.00262135755110249
"ADNP2",0.137031763689659
"ADO",0.0216560387587501
"ADORA1",0.0207790321323635
"ADORA2B",0.804524380519885
"ADORA3",0.000517270841524198
"ADPGK",0.120494281260468
"ADPRH",0.0887441046299728
"ADPRHL1",0.683378020987414
"ADPRHL2",0.0190751953629296
"ADPRM",0.0364825359738978
"ADRA1D",0.0936202880550479
"ADRA2A",0.00389259182923851
"ADRA2C",0.08876611909327
"ADRB1",0.0544881069090319
"ADRB2",0.000245681958225052
"ADRB3",0.0249482529290637
"ADRBK1",0.860315880088659
"ADRBK2",0.0126565330850608
"ADRM1",0.274585940494507
"ADSL",0.00163683413145699
"ADSS",0.229654274879142
"ADSSL1",0.621111574148381
"ADTRP",0.0380761607966043
"AEBP1",6.57587492018941e-05
"AEBP2",0.00338590300338026
"AEN",0.231022498348787
"AES",0.115817680703872
"AFAP1",0.141595240444932
"AFAP1-AS1",0.274252411797419
"AFAP1L1",4.59999889268481e-05
"AFAP1L2",0.315711758246877
"AFF1",0.125221025861874
"AFF2",0.131343469057273
"AFF4",0.00164543185256294
"AFG3L1P",0.735399105500091
"AFG3L2",0.0446059992497712
"AFM",0.207288075760654
"AFMID",0.212942662931603
"AFP",0.692201592157537
"AFTPH",0.262576537242568
"AGA",0.0828693229634612
"AGAP1",0.0432284334549102
"AGAP11",0.0231786898433137
"AGAP2-AS1",0.0943725701219913
"AGAP3",0.598704034535895
"AGAP4",0.508842854718903
"AGAP6",0.694929673794441
"AGAP9",0.18867851858306
"AGBL1",0.707244915872415
"AGBL2",0.88857324955942
"AGBL3",0.714437080075242
"AGBL4",0.972875233432434
"AGBL5",6.27910640282892e-06
"AGER",0.700884528332617
"AGFG1",0.49911819781862
"AGFG2",0.772347186206467
"AGGF1",0.0241355935346528
"AGK",0.967502870645356
"AGL",0.0362834292221135
"AGMAT",0.699208849746915
"AGO1",0.0497482335594124
"AGO2",0.135082627544749
"AGO3",0.48729035269831
"AGO4",0.206743226719002
"AGPAT1",0.000222394557213068
"AGPAT2",0.164975660544448
"AGPAT3",0.0270575009140361
"AGPAT4",0.943360779996482
"AGPAT4-IT1",0.847825619233746
"AGPAT5",0.660346045012982
"AGPS",0.356861910591147
"AGR2",0.746488590810411
"AGR3",0.719583363821686
"AGRN",0.0363640948985537
"AGRP",0.288687176388663
"AGT",0.00557790363449673
"AGTPBP1",0.959681162328252
"AGTR1",0.000898650379284494
"AGTR2",0.675677429674612
"AGTRAP",0.931358667935273
"AGXT",0.230033673254851
"AHCTF1",0.00143173601604785
"AHCY",0.00113250649912078
"AHCYL1",0.831735667126148
"AHCYL2",0.333827974846514
"AHDC1",0.992787851556799
"AHI1",0.0451520385397153
"AHNAK",0.0784579208818141
"AHNAK2",0.0574520012172579
"AHR",1.3543173849051e-06
"AHRR",0.264218813543909
"AHSA1",0.110438343965813
"AHSA2",0.933130663406897
"AHSG",0.339903309003658
"AHSP",0.255820270029858
"AIDA",0.690489240471701
"AIF1",0.0089804337311592
"AIF1L",0.00373158286948794
"AIFM1",0.0423821031860871
"AIFM2",0.450874143455488
"AIFM3",0.338664994954844
"AIG1",1.37910051227763e-05
"AIM1",0.000129830508380557
"AIM1L",0.371981085863017
"AIM2",0.00176548777469421
"AIMP1",0.029262813677899
"AIMP2",0.101259361222787
"AIP",0.162520199243277
"AIPL1",0.22777557285236
"AJAP1",0.661580584482922
"AJUBA",0.124680757971547
"AK1",0.83729712131277
"AK2",0.00328530057586396
"AK3",0.00136604689805919
"AK4",0.000309896164818024
"AK5",0.0250247914175095
"AK6",0.00150538546466406
"AK7",0.589525919372248
"AK8",0.464220590293563
"AK9",0.320026825801485
"AKAP1",0.160924424235449
"AKAP10",0.524981298964303
"AKAP11",0.550363664160868
"AKAP12",0.00681862600633987
"AKAP13",0.771624863854708
"AKAP14",0.736619262244655
"AKAP17A",0.853046129767381
"AKAP4",0.358091712521019
"AKAP5",0.00377324916870059
"AKAP6",0.330207780941982
"AKAP7",0.0364315107619166
"AKAP8L",0.00937003207715614
"AKAP9",0.0399528489267977
"AKIP1",0.711049384794418
"AKIRIN1",0.222991102974888
"AKIRIN2",0.328923195416079
"AKNA",0.144719520366116
"AKNAD1",0.234326578397441
"AKR1A1",0.202686336706752
"AKR1B1",0.276373539845476
"AKR1B10",0.541169068197179
"AKR1C1",0.15246129119383
"AKR1C2",0.347916419597798
"AKR1C3",0.187377993643565
"AKR1C4",0.309865429152986
"AKR1D1",0.360874874853781
"AKR1E2",0.714738189062107
"AKR7A2",0.311864043619775
"AKR7A3",0.0391659497006116
"AKT1",0.441216398111012
"AKT1S1",0.0458407078117897
"AKT2",0.105828088529227
"AKT3",1.3868381994353e-05
"AKTIP",0.0187106001620938
"ALAD",0.015428500755913
"ALAS1",0.0101669706393994
"ALAS2",0.0842242879470552
"ALCAM",0.668000008790687
"ALDH16A1",0.579013733678985
"ALDH18A1",0.110965566592421
"ALDH1A1",0.000444527254862326
"ALDH1A2",0.096201645613454
"ALDH1A3",0.00859330342051079
"ALDH1B1",0.956184990348881
"ALDH1L1",0.126378111321842
"ALDH1L1-AS2",0.787176605437065
"ALDH1L2",0.0077561929130372
"ALDH2",0.0277149156050451
"ALDH3A1",0.130710802679806
"ALDH3A2",0.618165450437442
"ALDH3B1",0.00115643480035743
"ALDH4A1",0.338189063254767
"ALDH5A1",0.000782625615420418
"ALDH6A1",0.93361645437289
"ALDH7A1",0.00579060374594254
"ALDH8A1",0.645202419955513
"ALDH9A1",0.0695922365940871
"ALDOA",8.09679143656261e-05
"ALDOB",0.169531312330508
"ALDOC",0.205744769680179
"ALG1",0.145456190927826
"ALG10",0.377955737957213
"ALG12",0.0112499274039397
"ALG13",0.547165713220535
"ALG14",0.16727445913962
"ALG2",0.573182116743866
"ALG3",0.746043306359322
"ALG5",0.0911926958127629
"ALG6",0.0107849711756185
"ALG8",0.000687715376397779
"ALG9",0.0133950881875557
"ALK",0.0137009023321251
"ALKBH1",0.489167630885625
"ALKBH2",0.00745038931101316
"ALKBH3",0.127286722142982
"ALKBH4",0.905499924383027
"ALKBH5",0.166393898824729
"ALKBH6",0.121294351874247
"ALKBH7",0.0323922175828408
"ALKBH8",0.996656844241649
"ALLC",0.607700462804861
"ALMS1",0.652403572793745
"ALMS1-IT1",0.172298283510989
"ALMS1P1",0.784074408776832
"ALOX12",0.427880389004539
"ALOX12-AS1",0.989962920505633
"ALOX12P2",0.220024852268596
"ALOX15",0.337409116192982
"ALOX15B",0.890273594840701
"ALOX5AP",5.74850144392514e-05
"ALPK1",0.0819752845358142
"ALPK2",0.0184190707317635
"ALPL",0.110539741361024
"ALPPL2",0.349133692013
"ALS2",0.00154913388439315
"ALS2CR11",0.015014013526776
"ALS2CR12",0.937213991820292
"ALX1",0.964175237868245
"ALX3",0.475736149718856
"ALYREF",0.263093173543208
"AMACR",0.483193359783558
"AMBN",0.516341965488918
"AMBRA1",0.275974556832887
"AMD1",0.150376339669742
"AMDHD1",0.0412336082367721
"AMELX",0.720434249117837
"AMELY",0.649440023541938
"AMER1",0.356448872723198
"AMER2",0.141319332633086
"AMFR",0.45823135673833
"AMIGO1",0.0785427479126188
"AMIGO2",0.0403993044682782
"AMMECR1",0.341863331890916
"AMMECR1L",0.00221764130506985
"AMN",0.970945869840605
"AMN1",0.00661098048036513
"AMOT",0.600180024429078
"AMOTL1",0.49135896739547
"AMOTL2",0.0234631217313552
"AMPD1",0.39568945875655
"AMPD2",0.319264190104307
"AMPD3",0.859556728494712
"AMPH",0.00272096600462834
"AMT",0.537372667347097
"AMZ1",0.526289472846962
"AMZ2",6.20854627695344e-05
"AMZ2P1",0.0356777765145175
"ANAPC1",1.9792257874629e-05
"ANAPC10",0.205038641176977
"ANAPC11",0.0153632694167594
"ANAPC13",0.601750796577798
"ANAPC15",0.330684201640745
"ANAPC16",0.0923369937766547
"ANAPC2",0.909503498094904
"ANAPC4",0.162534780796846
"ANAPC5",0.0132471718873013
"ANAPC7",0.237665009224306
"ANG",0.420609473182289
"ANGEL1",0.00661357073783675
"ANGEL2",0.00161743889364985
"ANGPT1",6.4096274172698e-05
"ANGPT2",0.0108056784428778
"ANGPTL1",0.00973219898252742
"ANGPTL2",3.34005682003369e-05
"ANGPTL3",0.863815506800969
"ANGPTL4",0.302919957653913
"ANGPTL6",0.0205069593342446
"ANGPTL7",0.110512430983669
"ANHX",0.00629400777906652
"ANK1",0.301077591196236
"ANK2",1.67082125890339e-05
"ANK3",0.104654484279269
"ANKAR",0.857552113676128
"ANKDD1A",0.508078675968079
"ANKEF1",0.177231344678855
"ANKFN1",0.126000032235188
"ANKFY1",0.106001859485779
"ANKH",0.000303129758144394
"ANKHD1",0.806545296653226
"ANKIB1",0.0455840650689205
"ANKLE1",0.629598671090107
"ANKLE2",0.0234226385698293
"ANKMY1",0.0908277874162167
"ANKMY2",0.138936820304318
"ANKRA2",0.182922944749677
"ANKRD1",0.474787068642407
"ANKRD10",0.699413234121375
"ANKRD10-IT1",0.11391611663039
"ANKRD11",0.414032383946984
"ANKRD12",0.955372456423821
"ANKRD13A",0.828562353270156
"ANKRD13B",0.162856810464187
"ANKRD13C",0.190615546196725
"ANKRD13D",0.426085787989819
"ANKRD16",0.0102939102942121
"ANKRD17",0.0429214417797215
"ANKRD18A",0.223400564201669
"ANKRD18B",0.632844555341971
"ANKRD2",0.476043092150622
"ANKRD20A11P",0.977089429270843
"ANKRD20A12P",0.133530312106229
"ANKRD20A5P",0.252672086729726
"ANKRD22",0.130839137497573
"ANKRD23",0.148741924586408
"ANKRD24",0.811259836066802
"ANKRD26",0.832718485487473
"ANKRD26P3",0.301149742504133
"ANKRD27",0.419278497003225
"ANKRD28",0.0830848694678423
"ANKRD29",0.00822164940823233
"ANKRD30BP2",0.115121377871168
"ANKRD30BP3",0.0256517541361942
"ANKRD33",0.324606276513369
"ANKRD33B",0.334845153236976
"ANKRD34A",0.198432385421667
"ANKRD34C",0.816156609280519
"ANKRD35",0.000733698628867963
"ANKRD36",0.508661677705496
"ANKRD36B",0.796724104322705
"ANKRD36BP2",0.569044853588084
"ANKRD36C",0.443832138475996
"ANKRD37",0.989865381819642
"ANKRD39",0.000683453201974826
"ANKRD40",0.946868093664483
"ANKRD44",0.0243495482821099
"ANKRD44-IT1",0.0187478285080518
"ANKRD45",0.0204312530334003
"ANKRD46",0.00689748580684069
"ANKRD49",0.876700371291617
"ANKRD50",9.67926822559306e-05
"ANKRD53",0.0245553793086066
"ANKRD54",0.507219708020823
"ANKRD55",0.511628432890525
"ANKRD6",0.0604559571108654
"ANKRD65",0.695700904659901
"ANKRD7",0.379951532425793
"ANKRD9",0.886172250345028
"ANKS1A",0.278253059982918
"ANKS1B",0.0431020300224754
"ANKS3",0.53992415142189
"ANKS6",0.218046294409735
"ANKZF1",0.0964475013263575
"ANLN",0.258530543274718
"ANO1",0.00118714124435715
"ANO10",0.621221375389863
"ANO4",0.0245464419872599
"ANO5",0.995267229890306
"ANO6",0.431288866655473
"ANO8",0.797211913549233
"ANO9",0.998030970918786
"ANOS1",0.093529470211656
"ANP32A",0.0108788951538199
"ANP32A-IT1",0.303033665213374
"ANP32B",0.541106775643157
"ANP32C",0.56341017076545
"ANP32E",0.00115289548600672
"ANPEP",9.01100172256974e-09
"ANTXR1",0.216578663813273
"ANTXR2",7.86142159348024e-06
"ANXA1",0.0826838458667005
"ANXA11",0.00409727139060467
"ANXA13",0.459510082715524
"ANXA2",0.000238782487867795
"ANXA2P1",0.00197518959496135
"ANXA2P2",5.62272372355288e-05
"ANXA2P3",0.014195524030467
"ANXA2R",0.116912806812043
"ANXA3",0.942041179890996
"ANXA4",0.020171980989774
"ANXA5",0.0451920067167846
"ANXA6",0.483569033781692
"ANXA7",0.000739506186356653
"ANXA9",0.142766472128579
"AOAH",0.00018863554351789
"AOC1",0.756768102422533
"AOC2",0.330065945206851
"AOC3",0.000618454358681353
"AOX1",0.52558596180209
"AP1AR",0.699985680730461
"AP1B1",0.813685976237678
"AP1G1",0.209244290135849
"AP1G2",0.457522185644423
"AP1M1",0.586986464594869
"AP1M2",0.519391900104733
"AP1S1",0.325209569534972
"AP1S2",0.454094821384961
"AP1S3",0.556677420855732
"AP2A1",0.827858347218799
"AP2A2",0.0114309363406173
"AP2B1",0.857811600812755
"AP2M1",0.260492192454702
"AP2S1",0.427097130435675
"AP3B1",0.960127575342365
"AP3B2",0.488519577899203
"AP3D1",0.513788602951004
"AP3M1",0.196914876983338
"AP3M2",0.0940047071172472
"AP3S1",0.0164086059636432
"AP4B1",0.238568369617741
"AP4E1",0.294828923493402
"AP4M1",0.12302058105325
"AP4S1",0.572800903695537
"AP5B1",0.978784767650974
"AP5M1",0.322377631400004
"AP5S1",0.738765237258809
"APAF1",0.965536872304011
"APBA1",0.723710194763239
"APBA2",0.978596034167493
"APBA3",0.948581108111926
"APBB1",0.0320665909956188
"APBB1IP",2.45838118528852e-06
"APBB2",0.00145427641746476
"APC",0.0766024098304967
"APC2",0.483539369204082
"APCDD1",0.153002381616137
"APCDD1L",0.543473164515628
"APCS",0.616860877598626
"APEH",0.000328407964675259
"APELA",0.148533122101047
"APEX1",9.5461652316331e-06
"APEX2",0.867683258402486
"APH1A",0.0449533362228134
"APH1B",0.589685956854599
"API5",0.530482918779791
"APIP",0.0644651606422615
"APLF",0.620568489110666
"APLN",0.581439611018618
"APLNR",4.66068380333695e-07
"APLP1",0.0822804601512808
"APLP2",0.0620714137913103
"APMAP",0.981485880092121
"APOA2",0.816433728408442
"APOB",0.759907834288082
"APOBEC2",0.735636434568101
"APOBEC3B",0.0244005183765936
"APOBEC3C",0.289690100649759
"APOBEC3D",0.616805523227841
"APOBEC3F",0.72592062895685
"APOBEC3G",0.682995791998679
"APOBEC4",0.760583477831029
"APOC1",0.000914894094188767
"APOD",0.176001811199237
"APOE",0.17069640667407
"APOH",0.258606891550809
"APOL1",0.340930141535516
"APOL2",0.0151873360551673
"APOL3",0.00179796563422308
"APOL4",0.00222916677107565
"APOL6",0.689939860633646
"APOLD1",0.000163544559752982
"APOM",0.00424933465372801
"APOO",0.606875551870022
"APOOL",0.0880358064771836
"APOPT1",0.233904102791772
"APP",0.0554173349971512
"APPBP2",0.100139114698856
"APPL1",0.436408973594896
"APPL2",0.546136963354359
"APRT",0.152419740318928
"APTR",0.394248543924036
"APTX",0.029120969936745
"AQP1",3.44904848210703e-05
"AQP2",0.0855990824893036
"AQP3",0.0677996929037883
"AQP4",0.942622487609869
"AQP4-AS1",0.0384813069482455
"AQP5",0.00342056377849453
"AQP6",0.169631274753428
"AQP9",0.00611406555790817
"AQR",0.14273161228578
"AR",0.000307756269530612
"ARAF",0.713002380731509
"ARAP1",0.00947779948530769
"ARAP2",0.0480143586038491
"ARAP3",2.05191810431771e-07
"ARC",0.161398238433301
"ARCN1",0.671873777438333
"AREG",0.203609153860947
"AREL1",0.097811993980343
"ARF1",0.0638431545145757
"ARF3",0.0270523665310836
"ARF4",0.00134240055553159
"ARF5",0.412193295507553
"ARF6",0.384020302679125
"ARFGAP1",0.356065617740726
"ARFGAP2",0.040453711917714
"ARFGAP3",0.0228707636922056
"ARFGEF1",0.473910930740571
"ARFGEF2",0.191286276527909
"ARFGEF3",0.37828010582392
"ARFIP1",0.0338189450692612
"ARFIP2",0.261697157132942
"ARFRP1",0.787541995519494
"ARG1",0.299378492819958
"ARG2",0.0424193465801743
"ARGLU1",0.184937464524012
"ARHGAP1",0.00193192914487561
"ARHGAP10",0.0381197100272872
"ARHGAP11A",0.204450687123495
"ARHGAP11B",0.282557539149027
"ARHGAP12",0.398764424094195
"ARHGAP15",0.0325352716032814
"ARHGAP17",0.373865520459455
"ARHGAP18",0.0751972045679776
"ARHGAP19",0.00200318495105045
"ARHGAP20",0.272285018067075
