"","NT5E"
"ACVR1B",0.00054696655898967
"ACVR1C",0.00272149753146245
"ACVR2A",0.82605848143017
"ACVR2B",0.00449880505735178
"ACVR2B-AS1",0.0963876782397382
"ACVRL1",2.2655122222659e-10
"ACY3",0.117027063136576
"ACYP1",0.093268555978685
"ACYP2",0.00287818025446818
"ADA",0.00648593419464993
"ADAD1",0.0470939192277307
"ADAL",0.0049671429457927
"ADAM10",0.438865705732348
"ADAM11",0.0407212795518257
"ADAM12",8.88178419700125e-16
"ADAM15",1.14128706485417e-10
"ADAM17",0.0281418793499206
"ADAM18",0.248174399438656
"ADAM19",1.4299672557172e-13
"ADAM2",0.198185194161215
"ADAM21",0.419847746064621
"ADAM22",0.283029479077039
"ADAM23",0.0352578810098008
"ADAM28",4.85211870682178e-12
"ADAM30",0.217024219380915
"ADAM32",0.448563312174622
"ADAM33",6.99685773231096e-06
"ADAM3A",0.929568482357356
"ADAM5",0.442089891564376
"ADAM6",0.069577095111599
"ADAM8",0.5562913137168
"ADAM9",5.24172927285349e-10
"ADAMDEC1",3.86735125657012e-05
"ADAMTS1",1.35630617847937e-10
"ADAMTS10",0.919324022257356
"ADAMTS12",6.32383034826489e-13
"ADAMTS13",0.00535539711727817
"ADAMTS14",3.66200591894739e-06
"ADAMTS15",0.0621912823481618
"ADAMTS16",0.00174189749127329
"ADAMTS17",0.276255954439287
"ADAMTS18",1.91859816922602e-09
"ADAMTS19",0.204317763982824
"ADAMTS2",1.77635683940025e-15
"ADAMTS20",0.972576419940701
"ADAMTS3",1.78781434101438e-10
"ADAMTS4",0.594849618759377
"ADAMTS5",8.43769498715119e-15
"ADAMTS6",6.13052675291215e-09
"ADAMTS7",0.846443230893007
"ADAMTS8",0.258470928081614
"ADAMTS9",2.22044604925031e-16
"ADAMTS9-AS2",0.0970335899755432
"ADAMTSL1",5.55111512312578e-14
"ADAMTSL2",0.0265406766139844
"ADAMTSL3",0.000151596495931328
"ADAMTSL4",2.80828067666938e-06
"ADAP1",0.016425670399189
"ADAP2",3.10862446895044e-15
"ADAR",0.769789706814575
"ADARB1",0.000545175293685807
"ADARB2",0.174884397491359
"ADARB2-AS1",0.176958051890553
"ADAT1",0.308630784073044
"ADAT2",9.09729932718761e-07
"ADAT3",0.236601773027703
"ADCK1",0.022231703097233
"ADCK2",0.0114017768628014
"ADCK3",0.0268271527010771
"ADCK4",0.0113528461789238
"ADCK5",0.9891167481882
"ADCY1",0.000120293292946716
"ADCY10",0.306870816078112
"ADCY10P1",0.0479668912541666
"ADCY2",0.000887447321360701
"ADCY3",0.0128939483736021
"ADCY4",0
"ADCY5",0.84497823276774
"ADCY6",6.88687059291482e-06
"ADCY7",0.109745045583184
"ADCY9",0.00011248314379575
"ADCYAP1",0.00012141618090844
"ADCYAP1R1",0.337662572039038
"ADD1",0.778405944797244
"ADD2",0.245219173175746
